Prodotto_Shopify,Categoria_Padre,Sottocategoria,SKU,EAN,Prezzo_2026,Opzione_1_Nome,Opzione_1_Valore,Opzione_2_Nome,Opzione_2_Valore,Titolo_Originale_Listino
Gre - OVALE BIANCA CON RINFORZI LATERALI Blu Rinforzi,Piscine,Piscine in acciaio,KIT500QGRE,8412081307664,1502.77,Misura,2,Spessore,30/100,KIT Piscina ovale bianca con 2 rinforzi laterali per parte. Parete in acciaio. Liner blu 30/100. Filtro Aqualoon da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: 500x300 h 120
Gre - OVALE BIANCA CON RINFORZI LATERALI Blu Rinforzi,Piscine,Piscine in acciaio,KITPROV613,8412081220437,1890.05,Misura,2,Spessore,40/100,"KIT Piscina ovale bianca con 2 rinforzi laterali per parte. Parete in acciaio. Liner blu 40/100. Skimmer motorizzato a cartuccia da 3,8m³/h. Scala di sicurezza con piattaforma 2x3 gradini. Dim: 610x375 h 120"
Gre - OVALE BIANCA CON RINFORZI LATERALI Blu Rinforzi,Piscine,Piscine in acciaio,KITPROV503,8412081220260,1708.77,Misura,2,Spessore,30/100,"KIT Piscina ovale bianca con 2 rinforzi laterali per parte. Parete in acciaio. Liner blu 30/100. Skimmer motorizzato a cartuccia da 3,8m³/h. Scala di sicurezza con piattaforma 2x3 gradini. Dim: 500x300 h 120"
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KITPR558,8412081211589,2538.95,Misura,40,Spessore,40/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 40/100. Filtro a sabbia da 6m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Tappeto. Include dispositivo Smart Plug. Dim: Ø 550 h 132
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KITPR458,8412081211596,2209.35,Misura,40,Spessore,40/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 40/100. Filtro a sabbia da 6m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Tappeto. Include dispositivo Smart Plug. Dim: Ø 460 h 132
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KITPR358,8412081233864,1884.9,Misura,40,Spessore,40/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 40/100. Filtro a sabbia da 6m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Tappeto. Include dispositivo Smart Plug. Dim: Ø 350 h 132
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KIT550ECO,8412081211411,1678.9,Misura,30,Spessore,30/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Filtro a sabbia da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 550 h 120
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KIT460ECO,8412081211428,1467.75,Misura,30,Spessore,30/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Filtro a sabbia da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 460 h 120
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KIT350ECO,8412081211435,1282.35,Misura,30,Spessore,30/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Filtro a sabbia da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 350 h 120
Gre - TONDA BIANCA. PARETE ACCIAIO. LINER Blu,Piscine,Piscine in acciaio,KIT300ECO,8412081228754,1230.85,Misura,30,Spessore,30/100,KIT Piscina tonda bianca. Parete in acciaio. Liner blu 30/100. Filtro a sabbia da 4m³/h. Skimmer. Scala di sicurezza con piattaforma 2x3 gradini. Dim: Ø 300 h 120
