Prodotto_Shopify,Categoria_Padre,Sottocategoria,SKU,EAN,Prezzo_2026,Opzione_1_Nome,Opzione_1_Valore,Opzione_2_Nome,Opzione_2_Valore,Titolo_Originale_Listino
Gre - INVERNALE LEGNO OVALE ORANGE /M². Legno,Accessori,"Coperture, tappeti e liner",CI800007,8412081313337,0.0,,,,,"Copertura invernale per piscina in legno ovale Orange 800007, 580 g/m². PVC armato. Dim: 793x496"
Gre - INVERNALE LEGNO OVALE VERMELA /M². Legno,Accessori,"Coperture, tappeti e liner",621103,3605216211034,647.87,,,,,"Copertura invernale per piscina in legno ovale Vermela 790098, 580 g/m². PVC armato. Dim: 712x512"
Gre - INVERNALE LEGNO OVALE SAFRAN /SAFRAN Legno,Accessori,"Coperture, tappeti e liner",779537,3605217795373,364.62,,,,,"Copertura invernale per piscina in legno ovale Safran 790089/Safran 2 7900892, 580 g/m². PVC armato. Dim: 676x451"
Gre - INVERNALE LEGNO OVALE CANNELLE /CANNELLE Legno,Accessori,"Coperture, tappeti e liner",786754,3605217867544,287.37,,,,,"Copertura invernale per piscina in legno ovale Cannelle 790087/Cannelle 2 7900872, 580 g/m². PVC armato. Dim: 591x391"
Gre - INVERNALE LEGNO OVALE GRENADE /GRENADE Legno,Accessori,"Coperture, tappeti e liner",779531,3605217795311,365.65,,,,,"Copertura invernale per piscina in legno ovale Grenade 790086/Grenade 2 7900862, 580 g/m². PVC armato. Dim: 476x376"
"Gre - INVERNALE LEGNO OVALE AVOCAD, /M². Legno",Accessori,"Coperture, tappeti e liner",CI790203,8412081308371,627.27,,,,,"Copertura invernale per piscina in legno ovale Avocado 790203, 580 g/m². PVC armato. Dim: 696x497"
Gre - INVERNALE LEGNO OVALE CAMOMILLE /M². Legno,Accessori,"Coperture, tappeti e liner",790063,3605217900630,0.0,,,,,"Copertura invernale per piscina in legno ovale Camomille 790063, 580 g/m². PVC armato. Dim: 661x436"
Gre - INVERNALE LEGNO OVALE MACADAMIA KPBOC Legno,Accessori,"Coperture, tappeti e liner",CIKPBOC632,8412081273525,513.97,,,,,"Copertura invernale per piscina in legno ovale Macadamia KPBOC632, 580 g/m². PVC armato. Dim: 675x375"
Gre - INVERNALE LEGNO OVALE BAMBU KPBOC Legno,Accessori,"Coperture, tappeti e liner",CIKPBOC535,8412081273518,410.97,,,,,"Copertura invernale per piscina in legno ovale Bambu KPBOC535, 580 g/m². PVC armato. Dim: 575x375"
Gre - INVERNALE LEGNO TONDA VIOLETTE /VIOLETTE Legno,Accessori,"Coperture, tappeti e liner",784801,3605217848017,306.94,,,,,"Copertura invernale per piscina in legno tonda Violette 790085/Violette 2 800003, 580 g/m². PVC armato. Dim: Ø 550"
Gre - INVERNALE LEGNO TONDA VANILLE /VANILLE Legno,Accessori,"Coperture, tappeti e liner",779525,3605217795250,213.21,,,,,"Copertura invernale per piscina in legno tonda Vanille 790083/Vanille 2 800002, 580 g/m². PVC armato. Dim: Ø 440"
Gre - INVERNALE LEGNO TONDA LILI /LILI Legno,Accessori,"Coperture, tappeti e liner",787058,3605217870582,143.17,,,,,"Copertura invernale per piscina in legno tonda Lili 790080/Lili 2 800008, 580 g/m². PVC armato. Dim: Ø 325"
Gre - INVERNALE LEGNO TONDA VAST/ANANAS 790210 Legno,Accessori,"Coperture, tappeti e liner",CI790210,8412081308364,400.67,,,,,"Copertura invernale per piscina in legno tonda Vasto 790210/Ananas 790210, 580 g/m². PVC armato. Dim: Ø 468"
Gre - ISOTERMICA COMPOSITE RETTANGOLARE KPCOR/KPCORN KPCORL/KPCORLN,Accessori,"Coperture, tappeti e liner",CVKPCOR60,8412081273709,246.17,,,,,"Copertura isotermica per piscina Composite rettangolare KPCOR60/KPCOR60N - KPCOR60L/KPCOR60LN 606x326, anti U.V.A, 400 micron. Polietilene. Dim: 560x280"
Gre - ISOTERMICA COMPOSITE RETTANGOLARE KPCOR/KPCORN 6X326,Accessori,"Coperture, tappeti e liner",CVKPCOR46,8412081304885,178.19,,,,,"Copertura isotermica per piscina Composite rettangolare KPCOR46/KPCOR46N 466x326, anti U.V.A, 400 micron. Polietilene. Dim: 420x280"
Gre - ISOTERMICA COMPOSITE RETTANGOLARE KPCOR 326X186,Accessori,"Coperture, tappeti e liner",CVKPCOR2814,8412081304977,156.56,,,,,"Copertura isotermica per piscina Composite rettangolare KPCOR2814 326X186, anti U.V.A, 400 micron. Polietilene. Dim: 275x135"
Gre - ISOTERMICA COMPOSITE QUADRATA KPCOR 326X326,Accessori,"Coperture, tappeti e liner",CVKPCOR28,8412081302690,135.96,,,,,"Copertura isotermica per piscina Composite quadrata KPCOR28 326x326, anti U.V.A, 400 micron. Polietilene. Dim: 275x275"
Gre - ISOTERMICA COMPOSITE OVALE KPCOV 4X386,Accessori,"Coperture, tappeti e liner",CVKPCO80,8412081270661,331.66,Misura,80,,,"Copertura isotermica per piscina Composite ovale KPCOV80 804x386, anti U.V.A, 400 micron. Polietilene. Dim: 753x333"
Gre - ISOTERMICA COMPOSITE OVALE KPCOV 4X386,Accessori,"Coperture, tappeti e liner",CVKPCO66,8412081270654,269.86,Misura,66,,,"Copertura isotermica per piscina Composite ovale KPCOV66 664x386, anti U.V.A, 400 micron. Polietilene. Dim: 613x333"
Gre - ISOTERMICA COMPOSITE OVALE KPCOV 4X386,Accessori,"Coperture, tappeti e liner",CVKPCO52,8412081270647,209.09,Misura,52,,,"Copertura isotermica per piscina Composite ovale KPCOV52 524x386, anti U.V.A, 400 micron. Polietilene. Dim: 473x333"
Gre - ISOTERMICA COMPOSITE TONDA KPC 410,Accessori,"Coperture, tappeti e liner",CVKPCO41,8412081270630,150.38,,,,,"Copertura isotermica per piscina Composite tonda KPCO41 Ø 410, anti U.V.A, 400 micron. Polietilene. Dim: Ø 361"
Gre - INVERNALE COMPOSITE RETTANGOLARE KPCOR/KPCORN KPCORL/KPCORLN,Accessori,"Coperture, tappeti e liner",CIKPCOR60,8412081273723,380.07,,,,,"Copertura invernale per piscina Composite rettangolare KPCOR60/KPCOR60N - KPCOR60L/KPCOR60LN 606x326, 580 g/m2. PVC armato. Dim: 656x376"
Gre - INVERNALE COMPOSITE RETTANGOLARE KPCOR/KPCORN 6X326,Accessori,"Coperture, tappeti e liner",CIKPCOR46,8412081304892,325.48,,,,,"Copertura invernale per piscina Composite rettangolare KPCOR46/KPCOR46N 466x326, 580 g/m2. PVC armato. Dim: 516x376"
Gre - INVERNALE COMPOSITE RETTANGOLARE KPCOR 326X186,Accessori,"Coperture, tappeti e liner",CIKPCOR2814,8412081304984,269.86,,,,,"Copertura invernale per piscina Composite rettangolare KPCOR2814 326X186, 580 g/m2. PVC armato. Dim: 376x236"
Gre - INVERNALE COMPOSITE QUADRATA KPCOR 326X326,Accessori,"Coperture, tappeti e liner",CIKPCOR28,8412081302706,281.19,,,,,"Copertura invernale per piscina Composite quadrata KPCOR28 326x326, 580 g/m2. PVC armato. Dim: 376x376"
Gre - INVERNALE COMPOSITE OVALE KPCOV 4X386,Accessori,"Coperture, tappeti e liner",CIKPCO80,8412081270708,534.57,Misura,80,,,"Copertura invernale per piscina Composite ovale KPCOV80 804x386, 580 g/m2. PVC armato. Dim: 854x436"
Gre - INVERNALE COMPOSITE OVALE KPCOV 4X386,Accessori,"Coperture, tappeti e liner",CIKPCO66,8412081270692,462.47,Misura,66,,,"Copertura invernale per piscina Composite ovale KPCOV66 664x386, 580g/m2. PVC armato. Dim: 714x436"
Gre - INVERNALE COMPOSITE OVALE KPCOV 4X386,Accessori,"Coperture, tappeti e liner",CIKPCO52,8412081270685,325.48,Misura,52,,,"Copertura invernale per piscina Composite ovale KPCOV52 524x386, 580 g/m2. PVC armato. Dim: 574x436"
Gre - INVERNALE COMPOSITE TONDA KPC 410,Accessori,"Coperture, tappeti e liner",CIKPCO41,8412081270678,324.45,,,,,"Copertura invernale per piscina Composite tonda KPCO41 Ø 410, 580g/m2. PVC armato. Dim: Ø 460"
Gre - ISOTERMICA INTERRATA OVALE X400 ANTI,Accessori,"Coperture, tappeti e liner",CVPE800,8412081273907,349.17,,,,,"Copertura isotermica per piscina interrata ovale 800x400 anti U.V.A, 400 micron. Polietilene. Dim: 795x395"
Gre - ISOTERMICA INTERRATA OVALE X320 ANTI,Accessori,"Coperture, tappeti e liner",CVPE700,8412081273914,266.77,Misura,700,,,"Copertura isotermica per piscina interrata ovale 700x320 anti U.V.A, 400 micron. Polietilene. Dim: 695x315"
Gre - ISOTERMICA INTERRATA OVALE X320 ANTI,Accessori,"Coperture, tappeti e liner",CVPE600,8412081273921,235.87,Misura,600,,,"Copertura isotermica per piscina interrata ovale 600x320 anti U.V.A, 400 micron. Polietilene. Dim: 595x315"
Gre - ISOTERMICA INTERRATA TONDA ANTI U.V.A,Accessori,"Coperture, tappeti e liner",CVPE550,8412081308449,210.12,Misura,Ø 550,,,"Copertura isotermica per piscina interrata tonda Ø 550 anti U.V.A, 400 micron. Polietilene. Dim: Ø 545"
Gre - ISOTERMICA INTERRATA TONDA ANTI U.V.A,Accessori,"Coperture, tappeti e liner",CVPE420,8412081273945,156.56,Misura,Ø 420,,,"Copertura isotermica per piscina interrata tonda Ø 420 anti U.V.A, 400 micron. Polietilene. Dim: Ø 415"
Gre - ISOTERMICA INTERRATA TONDA ANTI U.V.A,Accessori,"Coperture, tappeti e liner",CVPE350,8412081273952,104.03,Misura,Ø 350,,,"Copertura isotermica per piscina interrata tonda Ø 350 anti U.V.A, 400 micron. Polietilene. Dim: Ø 345"
Gre - ISOTERMICA INTERRATA TONDA ANTI U.V.A,Accessori,"Coperture, tappeti e liner",CVPE300,8412081308456,100.94,Misura,Ø 400,,,"Copertura isotermica per piscina interrata tonda Ø 400 anti U.V.A, 400 micron. Polietilene. Dim: Ø 295"
Gre - ISOTERMICA INTERRATA OVALE X300 ANTI,Accessori,"Coperture, tappeti e liner",CVPE500,8412081273938,187.46,,,,,"Copertura isotermica per piscina interrata ovale 500x300 anti U.V.A, 400 micron. Polietilene. Dim: 495x295"
"Gre - ISOTERMICA INTERRATA RETTANGOLARE X500, ANTI",Accessori,"Coperture, tappeti e liner",CPERT105,8412081268354,256.47,Misura,1000,,,"Copertura isotermica per piscina interrata rettangolare 1000x500, anti U.V.A, 180 micron. Polietilene. Dim: 995x495"
"Gre - ISOTERMICA INTERRATA RETTANGOLARE X500, ANTI",Accessori,"Coperture, tappeti e liner",CPERT95,8412081268347,235.87,Misura,900,,,"Copertura isotermica per piscina interrata rettangolare 900x500, anti U.V.A, 180 micron. Polietilene. Dim: 895x495"
"Gre - ISOTERMICA INTERRATA RETTANGOLARE X400, ANTI",Accessori,"Coperture, tappeti e liner",CPERT84,8412081268330,159.65,,,,,"Copertura isotermica per piscina interrata rettangolare 800x400, anti U.V.A, 180 micron. Polietilene. Dim: 795x395"
"Gre - ISOTERMICA INTERRATA RETTANGOLARE X300, ANTI",Accessori,"Coperture, tappeti e liner",CPERT63,8412081268323,93.73,Misura,600,,,"Copertura isotermica per piscina interrata rettangolare 600x300, anti U.V.A, 180 micron. Polietilene. Dim: 595x295"
"Gre - ISOTERMICA INTERRATA RETTANGOLARE X300, ANTI",Accessori,"Coperture, tappeti e liner",CPERT53,8412081268316,86.52,Misura,500,,,"Copertura isotermica per piscina interrata rettangolare 500x300, anti U.V.A, 180 micron. Polietilene. Dim: 495x295"
"Gre - ISOTERMICA OVALE X550, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV1020,8412081220536,266.77,Spessore,180 micron,,,"Copertura isotermica per piscina ovale 1000x550, anti U.V.A, 180 micron. Polietilene. Dim: 995x545"
"Gre - ISOTERMICA OVALE X550, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CVP1000,8412081318424,633.45,Spessore,400 micron,,,"Copertura isotermica per piscina ovale 1000x550, anti U.V.A, 400 micron. Polietilene. Dim: 995x545"
"Gre - ISOTERMICA OVALE X470, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV915,8412081980324,221.45,Misura,915,Spessore,180 micron,"Copertura isotermica per piscina ovale 915x470, anti U.V.A, 180 micron. Polietilene. Dim: 910x460"
"Gre - ISOTERMICA OVALE X470, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV810,8412081205984,192.61,Misura,810,Spessore,180 micron,"Copertura isotermica per piscina ovale 810x470, anti U.V.A, 180 micron. Polietilene. Dim: 805x460"
"Gre - ISOTERMICA OVALE X470, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CVP900,8412081318417,489.25,Misura,915,Spessore,400 micron,"Copertura isotermica per piscina ovale 915x470, anti U.V.A, 400 micron. Polietilene. Dim: 910x465"
"Gre - ISOTERMICA OVALE X470, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CVP800,8412081318400,424.36,Misura,800,Spessore,400 micron,"Copertura isotermica per piscina ovale 800x470, anti U.V.A, 400 micron. Polietilene. Dim: 795x465"
"Gre - ISOTERMICA OVALE X375, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV730,8412081980331,146.26,Misura,730,Spessore,180 micron,"Copertura isotermica per piscina ovale 730x375, anti U.V.A, 180 micron. Polietilene. Dim: 725x370"
"Gre - ISOTERMICA OVALE X375, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV610,8412081205991,115.36,Misura,610,Spessore,180 micron,"Copertura isotermica per piscina ovale 610x375, anti U.V.A, 180 micron. Polietilene. Dim: 605x370"
"Gre - ISOTERMICA OVALE X375, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",773326,3605217733269,287.37,Misura,730,Spessore,400 micron,"Copertura isotermica per piscina ovale 730x375, anti U.V.A, 400 micron. Polietilene. Dim: 725x370"
"Gre - ISOTERMICA OVALE X375, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",773324,3605217733245,256.47,Misura,610,Spessore,400 micron,"Copertura isotermica per piscina ovale 610x375, anti U.V.A, 400 micron. Polietilene. Dim: 605x370"
"Gre - ISOTERMICA OVALE X350, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV510,8412081268811,87.55,,,,,"Copertura isotermica per piscina ovale 500x350, anti U.V.A, 180 micron. Polietilene. Dim: 485x335"
"Gre - ISOTERMICA OVALE X300, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV505,8412081221823,81.37,Spessore,180 micron,,,"Copertura isotermica per piscina ovale 500x300, anti U.V.A, 180 micron. Polietilene. Dim: 495x295"
"Gre - ISOTERMICA OVALE X300, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",773322,3605217733221,169.95,Spessore,400 micron,,,"Copertura isotermica per piscina ovale 500x300, anti U.V.A, 400 micron. Polietilene. Dim: 495x295"
"Gre - ISOTERMICA FORMA OTTX475, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV700,8412081205830,180.25,,,,,"Copertura isotermica per piscina a forma di otto 710x475, anti U.V.A, 180 micron. Polietilene. Dim: 672x445"
"Gre - ISOTERMICA FORMA OTTX390, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV600,8412081205847,146.26,,,,,"Copertura isotermica per piscina a forma di otto 640x390, anti U.V.A, 180 micron. Polietilene. Dim: 620x370"
"Gre - ISOTERMICA FORMA OTTX340, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CPROV500,8412081205854,87.55,,,,,"Copertura isotermica per piscina a forma di otto 500x340, anti U.V.A, 180 micron. Polietilene. Dim: 472x305"
"Gre - ISOTERMICA TONDA ANTI U.V.A, POLIETILENE.",Accessori,"Coperture, tappeti e liner",CPR650,8412081950303,216.3,Misura,Ø 640,Spessore,180 micron,"Copertura isotermica per piscina tonda Ø 640, anti U.V.A, 180 micron. Polietilene. Dim: Ø 635"
"Gre - ISOTERMICA TONDA ANTI U.V.A, POLIETILENE.",Accessori,"Coperture, tappeti e liner",CPR550,8412081940601,156.56,Misura,Ø 550,Spessore,180 micron,"Copertura isotermica per piscina tonda Ø 550, anti U.V.A, 180 micron. Polietilene. Dim: Ø 545"
"Gre - ISOTERMICA TONDA ANTI U.V.A, POLIETILENE.",Accessori,"Coperture, tappeti e liner",CPR400,8412081940625,81.37,Misura,Ø 400,Spessore,180 micron,"Copertura isotermica per piscina tonda Ø 400, anti U.V.A, 180 micron. Polietilene. Dim: Ø 395"
"Gre - ISOTERMICA TONDA ANTI U.V.A, POLIETILENE.",Accessori,"Coperture, tappeti e liner",773320,3605217733207,265.74,Misura,Ø 550,Spessore,400 micron,"Copertura isotermica per piscina tonda Ø 550, anti U.V.A, 400 micron. Polietilene. Dim: Ø550"
"Gre - ISOTERMICA TONDA ANTI U.V.A, POLIETILENE.",Accessori,"Coperture, tappeti e liner",772999,3605217729996,190.55,Misura,Ø 460,Spessore,400 micron,"Copertura isotermica per piscina tonda Ø 460, anti U.V.A, 400 micron. Polietilene. Dim: Ø460"
"Gre - ISOTERMICA TONDA ANTI U.V.A, POLIETILENE.",Accessori,"Coperture, tappeti e liner",772997,3605217729972,117.42,Misura,Ø 360,Spessore,400 micron,"Copertura isotermica per piscina tonda Ø 360, anti U.V.A, 400 micron. Polietilene. Dim: Ø360"
"Gre - ISOTERMICA TONDA /450, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CV450,8412081202525,104.03,,,,,"Copertura isotermica per piscina tonda Ø 460/450, anti U.V.A, 180 micron. Polietilene. Dim: Ø 455"
"Gre - ISOTERMICA TONDA /360, ANTI U.V.A",Accessori,"Coperture, tappeti e liner",CV350,8412081202532,64.89,,,,,"Copertura isotermica per piscina tonda Ø 350/360, anti U.V.A, 180 micron. Polietilene. Dim: Ø 345"
Gre - ISOTERMICA TONDA EASY SET 366,Accessori,"Coperture, tappeti e liner",CV300,8412081202549,54.59,,,,,"Copertura isotermica per piscina tonda Ø 300 o Easy Set D 366, anti U.V.A, 180 micron. Polietilene. Dim: Ø 295"
Gre - ISOTERMICA TONDA EASY SET 305,Accessori,"Coperture, tappeti e liner",CV250,8412081208565,40.17,,,,,"Copertura isotermica per piscina tonda Ø 250 o Easy Set D 305, anti U.V.A, 180 micron. Polietilene. Dim: Ø 245"
Gre - INVERNALE OVALE X375 FORMA OTTO,Accessori,"Coperture, tappeti e liner",CIPROV731P,8412081306957,152.44,Misura,730,,,"Copertura invernale per piscina ovale 730x375 o a forma di otto 640x390, 180 g/m². Polietilene. Dim: 820x460"
Gre - INVERNALE OVALE X375 FORMA OTTO,Accessori,"Coperture, tappeti e liner",CIPROV611P,8412081306964,128.75,Misura,610,,,"Copertura invernale per piscina ovale 610x375 o a forma di otto 500x340, 180 g/m². Polietilene. Dim: 680x460"
Gre - INVERNALE OVALE X375 FORMA OTTO,Accessori,"Coperture, tappeti e liner",CIPROV731,8412081208695,139.05,Misura,730,,,"Copertura invernale per piscina ovale 730x375 o a forma di otto 640x390, 120 g/m². Polietilene. Dim: 820x460"
Gre - INVERNALE OVALE X375 FORMA OTTO,Accessori,"Coperture, tappeti e liner",CIPROV611,8412081208701,124.63,Misura,610,,,"Copertura invernale per piscina ovale 610x375 o a forma di otto 500x340, 120 g/m². Polietilene. Dim: 680x460"
"Gre - INVERNALE OVALE X300, /M². POLIETILENE.",Accessori,"Coperture, tappeti e liner",CIPROV501P,8412081306971,107.12,Dettaglio,/m². Polietilene. Dim: 610x410,,,"Copertura invernale per piscina ovale 500x300, 180 g/m². Polietilene. Dim: 610x410"
"Gre - INVERNALE OVALE X300, /M². POLIETILENE.",Accessori,"Coperture, tappeti e liner",CIPROV501,8412081221861,83.43,Dettaglio,/m². Polietilene. Dim: 610x410,,,"Copertura invernale per piscina ovale 500x300, 120 g/m². Polietilene. Dim: 610x410"
"Gre - INVERNALE TONDA /450, /M². POLIETILENE.",Accessori,"Coperture, tappeti e liner",CIPR451P,8412081306988,118.45,Dettaglio, g/m². Polietilene. Dim: Ø 540,,,"Copertura invernale per piscina tonda Ø 460/450, 180 g/m². Polietilene. Dim: Ø 540"
"Gre - INVERNALE TONDA /450, /M². POLIETILENE.",Accessori,"Coperture, tappeti e liner",CIPR451,8412081208732,114.33,Dettaglio, g/m². Polietilene. Dim: Ø 540,,,"Copertura invernale per piscina tonda Ø 460/450, 120 g/m². Polietilene. Dim: Ø 540"
"Gre - INVERNALE TONDA /350, /M². POLIETILENE.",Accessori,"Coperture, tappeti e liner",CIPR351P,8412081306995,86.52,Dettaglio, g/m². Polietilene. Dim: Ø 440,,,"Copertura invernale per piscina tonda Ø 360/350, 180 g/m². Polietilene. Dim: Ø 440"
"Gre - INVERNALE TONDA /350, /M². POLIETILENE.",Accessori,"Coperture, tappeti e liner",CIPR351,8412081208756,83.43,Dettaglio, g/m². Polietilene. Dim: Ø 440,,,"Copertura invernale per piscina tonda Ø 360/350, 120 g/m². Polietilene. Dim: Ø 440"
"Gre - INVERNALE OVALE X550, /M². POLIETILENE.",Accessori,"Coperture, tappeti e liner",CIPROV1001,8412081221854,251.32,,,,,"Copertura invernale per piscina ovale 1000x550, 120 g/m². Polietilene. Dim: 1115x660"
"Gre - INVERNALE OVALE X470, /M². POLIETILENE.",Accessori,"Coperture, tappeti e liner",CIPROV911,8412081208671,198.79,,,,,"Copertura invernale per piscina ovale 915x470, 120 g/m². Polietilene. Dim: 1030x560"
Gre - INVERNALE OVALE X470 FORMA OTTO,Accessori,"Coperture, tappeti e liner",CIPROV821,8412081208688,188.49,,,,,"Copertura invernale per piscina ovale 800x470 o a forma di otto 710x475, 120 g/m². Polietilene. Dim: 930x560"
Gre - INVERNALE TONDA /M². POLIETILENE. DIM:,Accessori,"Coperture, tappeti e liner",CIPR651,8412081208718,168.92,Misura,Ø 640,,,"Copertura invernale per piscina tonda Ø 640, 120 g/m². Polietilene. Dim: Ø 730"
Gre - INVERNALE TONDA /M². POLIETILENE. DIM:,Accessori,"Coperture, tappeti e liner",CIPR551,8412081208725,115.36,Misura,Ø 550,,,"Copertura invernale per piscina tonda Ø 550, 120 g/m². Polietilene. Dim: Ø 640"
Gre - INVERNALE TONDA /M². POLIETILENE. DIM:,Accessori,"Coperture, tappeti e liner",CIPR401,8412081208749,85.49,Misura,Ø 400,,,"Copertura invernale per piscina tonda Ø 400, 120 g/m². Polietilene. Dim: Ø 480"
Gre - INVERNALE TONDA /M². POLIETILENE. DIM:,Accessori,"Coperture, tappeti e liner",CIPR301,8412081220567,67.98,Misura,Ø 300,,,"Copertura invernale per piscina tonda Ø 300, 120 g/m². Polietilene. Dim: Ø 380"
Gre - INVERNALE TONDA /M². POLIETILENE. DIM:,Accessori,"Coperture, tappeti e liner",CIPR241,8412081220574,58.71,Misura,Ø 240,,,"Copertura invernale per piscina tonda Ø 240, 120 g/m². Polietilene. Dim: Ø 330"
"Gre - AVVOLGITORE TELO ""GRANDI RUOTE"" PISCINE",Accessori,"Coperture, tappeti e liner",90171,8427370901713,252.35,,,,,"Avvolgitore telo ""grandi ruote"" per piscine interrate. Si strotola fino ad un massimo di 5,5m. Contiene un tubo in alluminio anodizzato, una ghiera ergonomica con un'impugnatura rotatoria ed un kit per fissare la copertura."
Gre - AVVOLGITORE TELO CON RUOTE PISCINE,Accessori,"Coperture, tappeti e liner",90172,8412081302782,266.77,,,,,"Avvolgitore telo con ruote per piscine interrate fino ad un massimo di 5,5m di larghezza. Contiene un tubo in alluminio, una ghiera ergonomica con un'impugnatura rotatoria ed un kit per fissare la copertura."
Gre - AVVOLGITORE TELO PISCINE FUORI TERRA. Legno,Accessori,"Coperture, tappeti e liner",CRP58,8412081306940,163.77,,,,,"Avvolgitore telo per piscine fuori terra. Si srotola fino ad un massimo di 5,80m. Tubo telescopico in alluminio. Per piscine tubolari, in acciaio e legno"
Gre - AVVOLGITORE TELO PISCINE FUORI TERRA.,Accessori,"Coperture, tappeti e liner",40135,8427370401350,221.45,,,,,Avvolgitore telo per piscine fuori terra. Si srotola fino ad un massimo di 6m. Si fissa facilmente al bordo della piscina con 2 placche con viti.
Gre - TAPPETO POLIESTERE OVALE X500. /M².,Accessori,"Coperture, tappeti e liner",MPROV1100,8412081214528,247.2,,,,,Tappeto in poliestere per piscina ovale 1000x500. 110g/m². Dim: 1100x600
Gre - TAPPETO POLIESTERE OVALE X470. /M².,Accessori,"Coperture, tappeti e liner",MPROV915,8412081980256,182.31,Misura,915,,,Tappeto in poliestere per piscina ovale 915x470. 110g/m². Dim: 950x500
Gre - TAPPETO POLIESTERE OVALE X470. /M².,Accessori,"Coperture, tappeti e liner",MPROV810,8412081206004,151.41,Misura,800,,,Tappeto in poliestere per piscina ovale 800x470. 110g/m². Dim: 825x500
Gre - TAPPETO POLIESTERE OVALE X375. /M².,Accessori,"Coperture, tappeti e liner",MPROV730,8412081980263,122.57,Misura,730,,,Tappeto in poliestere per piscina ovale 730x375. 110g/m². Dim: 750x400
Gre - TAPPETO POLIESTERE OVALE X375. /M².,Accessori,"Coperture, tappeti e liner",MPROV610,8412081206011,101.97,Misura,610,,,Tappeto in poliestere per piscina ovale 610x375. 110g/m². Dim: 625x400
Gre - TAPPETO POLIESTERE OVALE X300. /M².,Accessori,"Coperture, tappeti e liner",MPROV500,8412081231075,91.67,,,,,Tappeto in poliestere per piscina ovale 500x300. 110g/m². Dim: 525x325
Gre - TAPPETO POLIESTERE TONDA /M². DIM:,Accessori,"Coperture, tappeti e liner",MPR650,8412081960111,143.17,Misura,Ø 640,,,Tappeto in poliestere per piscina tonda Ø 640. 110g/m². Dim: 650x650
Gre - TAPPETO POLIESTERE TONDA /M². DIM:,Accessori,"Coperture, tappeti e liner",MPR550,8412081960128,113.3,Misura,Ø 550,,,Tappeto in poliestere per piscina tonda Ø 550. 110g/m². Dim: 550x550
Gre - TAPPETO POLIESTERE TONDA /M². DIM:,Accessori,"Coperture, tappeti e liner",MPR400,8412081960142,65.92,Misura,Ø 400,,,Tappeto in poliestere per piscina tonda Ø 400. 110g/m². Dim: 400x400
Gre - TAPPETO POLIESTERE TONDA /460. /M².,Accessori,"Coperture, tappeti e liner",MPR450,8412081960135,80.34,,,,,Tappeto in poliestere per piscina tonda Ø 450/460. 110g/m². Dim: 460x460
Gre - TAPPETO POLIESTERE TONDA /360. /M².,Accessori,"Coperture, tappeti e liner",MPR350,8412081960159,55.62,,,,,Tappeto in poliestere per piscina tonda Ø 350/360. 110g/m². Dim: 350x350
Gre - TAPPETO POLIESTERE TONDA /250. /M².,Accessori,"Coperture, tappeti e liner",MPR250,8412081208572,35.02,,,,,Tappeto in poliestere per piscina tonda Ø 240/250. 110g/m². Dim: 250x250
Gre - DELTA MS: ROTOLO PROTEZIONE ALVEOLARE Legno,Accessori,"Coperture, tappeti e liner",772060,3605217720603,239.99,,,,,"DELTA MS: Rotolo di protezione alveolare in materiale Delta MS. Si utilizza per proteggere la parete in legno della piscina in caso di interramento. Dim: 20x1,5m"
Gre - TAPPETO PUZZLE GRIGIO ETILENE VINIL Grigio,Accessori,"Coperture, tappeti e liner",MPF509GY,8412081302638,29.87,,,,,"Tappeto puzzle grigio in etilene vinil acetato (EVA) 50x50 x 8mm. Confezione da 9pz (2,25m²). Indicato particolarmente per spa"
Gre - TAPPETO PUZZLE STAMPATO IMITAZIONE ERBA,Accessori,"Coperture, tappeti e liner",MPF509GR,8412081268521,28.84,,,,,"Tappeto puzzle stampato imitazione erba in etilene vinil acetato (EVA) 50x50 x 8mm. Confezione da 9pz (2,25m²)"
Gre - TAPPETO PUZZLE VERDE ETILENE VINIL,Accessori,"Coperture, tappeti e liner",MPF819,8412081268361,39.037,,,,,"Tappeto puzzle verde in etilene vinil acetato (EVA) 81x81 x 4,5mm. Confezione da 9pz (5,90m²)"
